Match,Final Tip,Predicted Margin,Raw Margin,Margin Category,Elo Confidence,Edge Score,Home Win %,Away Win %,Squiggle Tip,Squiggle Votes,Risk,Bookmaker Odds,Best Bookmaker,Break Even %,Model Edge %,Expected ROI %,Value Rating,Multi Eligible
Fremantle v Geelong,Fremantle,Fremantle by 17,17.5,Solid Margin,77.0,9.2,77.0,23.0,Fremantle,19-3,LOW,1.5,Manual,66.7,10.3,15.5,Strong Value,YES
Gold Coast v Hawthorn,Gold Coast,Gold Coast by 1,0.7,Close Game,51.2,4.1,51.2,48.8,Hawthorn,10-12,HIGH,1.5,Manual,66.7,-15.5,-23.2,No Value,NO
Adelaide v Melbourne,Adelaide,Adelaide by 10,10.1,Solid Margin,66.7,7.2,66.7,33.3,Adelaide,22-0,MEDIUM,1.5,Manual,66.7,0.0,0.1,No Value,NO
Greater Western Sydney v Carlton,Greater Western Sydney,Greater Western Sydney by 14,13.6,Solid Margin,71.9,8.7,71.9,28.1,Greater Western Sydney,22-0,LOW,1.5,Manual,66.7,5.2,7.9,Value,YES
Collingwood v Port Adelaide,Collingwood,Collingwood by 11,11.4,Solid Margin,68.7,7.4,68.7,31.3,Collingwood,22-0,MEDIUM,1.5,Manual,66.7,2.0,3.0,Small Edge,NO
Richmond v North Melbourne,North Melbourne,North Melbourne by 2,-2.3,Close Game,54.0,5.9,46.0,54.0,North Melbourne,0-22,MEDIUM,1.5,Manual,66.7,-12.7,-19.0,No Value,NO
St Kilda v Western Bulldogs,St Kilda,St Kilda by 1,1.1,Close Game,51.9,4.2,51.9,48.1,Western Bulldogs,4-18,HIGH,1.5,Manual,66.7,-14.8,-22.2,No Value,NO
